id,rate,iupac_rate,reaction,category,time_stamp,datasheet
84,KRO2NO3,none,NC3H7O2 + NO3 = NC3H7O + NO2,categories/saunders-2003-4_6_3-gen-master.htt,2.00403E+13,
85,KRO2HO2*0.520,none,NC3H7O2 + HO2 = NC3H7OOH,categories/saunders-2003-4_6_4-gen-master.htt,2.00403E+13,
86,2*(K298CH3O2*3D-13)@0.5*RO2*0.6,2*(K298CH3O2*3D-13)@0.5*RO2*2*0.6,NC3H7O2 = NC3H7O,categories/saunders-2003-4_6_5-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_32_n-C3H7O2_n-C3H7O2.xhtml_mathml.xml
87,2*(K298CH3O2*3D-13)@0.5*RO2*0.2,2*(K298CH3O2*3D-13)@0.5*RO2*2*0.2,NC3H7O2 = C2H5CHO,categories/saunders-2003-4_6_5-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_32_n-C3H7O2_n-C3H7O2.xhtml_mathml.xml
88,2*(K298CH3O2*3D-13)@0.5*RO2*0.2,2*(K298CH3O2*3D-13)@0.5*RO2*2*0.2,NC3H7O2 = NPROPOL,categories/saunders-2003-4_6_5-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_32_n-C3H7O2_n-C3H7O2.xhtml_mathml.xml
89,5.8D-13,5.8D-13,OH + NC3H7NO3 = C2H5CHO + NO2,categories/jenkin-1997-3_10_2-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC40_HO_1-C3H7ONO2.xhtml_mathml.xml
90,J<53>,none,NC3H7NO3 = NC3H7O + NO2,categories/saunders-2003-4_4_1-master.htt,2.00403E+13,
91,1.90D-12*EXP(190/TEMP),none,OH + NC3H7OOH = NC3H7O2,categories/jenkin-1997-3_10_4-master.htt,2.00403E+13,
92,1.10D-11,none,OH + NC3H7OOH = C2H5CHO + OH,categories/jenkin-1997-3_10_4-master.htt,2.00403E+13,
93,J<41>,none,NC3H7OOH = NC3H7O + OH,categories/saunders-2003-4_4_1-master.htt,2.00403E+13,
94,2.7D-12*EXP(360/TEMP)*0.958,2.7D-12*EXP(360/TEMP)*0.958,IC3H7O2 + NO = IC3H7O + NO2,categories/saunders-2003-4_6_1-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_5_i-C3H7O2_NO.xhtml_mathml.xml
95,2.7D-12*EXP(360/TEMP)*0.042,2.7D-12*EXP(360/TEMP)*0.042,IC3H7O2 + NO = IC3H7NO3,categories/saunders-2003-4_6_1-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_5_i-C3H7O2_NO.xhtml_mathml.xml
96,1.5D-14*EXP(-230/TEMP)*O2,1.5D-14*EXP(-230/TEMP)*O2,IC3H7O = CH3COCH3 + HO2,categories/saunders-2003-4_8_1-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/RO_4_2C3H7O_O2.xhtml_mathml.xml
97,KRO2NO3,none,IC3H7O2 + NO3 = IC3H7O + NO2,categories/saunders-2003-4_6_3-gen-master.htt,2.00403E+13,
98,KRO2HO2*0.520,none,IC3H7O2 + HO2 = IC3H7OOH,categories/saunders-2003-4_6_4-gen-master.htt,2.00403E+13,
99,2*(KCH3O2*1.6D-12*EXP(-2200/TEMP))@0.5*RO2*0.6,2*(KCH3O2*1.6D-12*EXP(-2200/TEMP))@0.5*RO2*2.0*EXP(-380/TEMP),IC3H7O2 = IC3H7O,categories/saunders-2003-4_6_5-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_33_i-C3H7O2_i-C3H7O2.xhtml_mathml.xml
100,2*(KCH3O2*1.6D-12*EXP(-2200/TEMP))@0.5*RO2*0.2,2*(KCH3O2*1.6D-12*EXP(-2200/TEMP))@0.5*RO2*3.7D-2*EXP(740/TEMP)*0.5,IC3H7O2 = CH3COCH3,categories/saunders-2003-4_6_5-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_33_i-C3H7O2_i-C3H7O2.xhtml_mathml.xml
101,2*(KCH3O2*1.6D-12*EXP(-2200/TEMP))@0.5*RO2*0.2,2*(KCH3O2*1.6D-12*EXP(-2200/TEMP))@0.5*RO2*3.7D-2*EXP(740/TEMP)*0.5,IC3H7O2 = IPROPOL,categories/saunders-2003-4_6_5-gen-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/ROO_33_i-C3H7O2_i-C3H7O2.xhtml_mathml.xml
102,6.2D-13*EXP(-230/TEMP),6.2D-13*EXP(-230/TEMP),OH + IC3H7NO3 = CH3COCH3 + NO2,categories/jenkin-1997-3_10_2-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC41_HO_2-C3H7ONO2.xhtml_mathml.xml
103,J<54>,none,IC3H7NO3 = IC3H7O + NO2,categories/saunders-2003-4_4_1-master.htt,2.00403E+13,
104,1.90D-12*EXP(190/TEMP),none,OH + IC3H7OOH = IC3H7O2,categories/jenkin-1997-3_10_4-master.htt,2.00403E+13,
105,1.66D-11,none,OH + IC3H7OOH = CH3COCH3 + OH,categories/jenkin-1997-3_10_4-master.htt,2.00403E+13,
106,J<41>,none,IC3H7OOH = IC3H7O + OH,categories/saunders-2003-4_4_1-master.htt,2.00403E+13,
107,9.8D-12*EXP(-425/TEMP)*0.127,9.8D-12*EXP(-425/TEMP)*0.127,OH + NC4H10 = NC4H9O2,categories/saunders-2003-4_1_1-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC7_HO_CH3CH2CH2CH3.xhtml_mathml.xml
108,9.8D-12*EXP(-425/TEMP)*0.873,9.8D-12*EXP(-425/TEMP)*0.873,OH + NC4H10 = SC4H9O2,categories/saunders-2003-4_1_1-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/HOx_VOC7_HO_CH3CH2CH2CH3.xhtml_mathml.xml
2748,2.05D-10*0.44*EXP(-120/TEMP),2.05D-10*(TEMP/300)@0*EXP(0/TEMP)*0.44*EXP(-120/TEMP),CL + NC4H10 = NC4H9O2,categories/jenkin-1997-3_9_1-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/X_VOC8_Cl_nC4H10.xhtml_mathml.xml
2749,2.05D-10*0.59*EXP(55/TEMP),2.05D-10*(TEMP/300)@0*EXP(0/TEMP)*0.59*EXP(55/TEMP),CL + NC4H10 = SC4H9O2,categories/jenkin-1997-3_9_1-master.htt,2.01312E+13,http://www.iupac-kinetic.ch.cam.ac.uk/datasheets/xhtml/X_VOC8_Cl_nC4H10.xhtml_mathml.xml
