t,ts,RO2HO2,RO2NO,RO2NO2,RO2,HO2,OH,NO3,J,NO,RO2NO3,concs,
66,66,2.8534892655997214e-11,9.579010902269835e-13,0,2.4460547644519106e-7,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,281.7902608466945,
67,67,2.8534892655997214e-11,9.579010902269835e-13,0,1.9338893980848594e-7,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,223.3677471412786,
68,68,2.8534892655997214e-11,9.579010902269835e-13,0,1.5286815168664322e-7,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,177.063469771315,
69,69,2.8534892655997214e-11,9.579010902269835e-13,0,1.2081769615764474e-7,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,140.36171120828058,
70,70,2.8534892655997214e-11,9.579010902269835e-13,0,9.547591284236021e-8,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,111.26977972511372,
71,71,2.8534892655997214e-11,9.579010902269835e-13,0,7.544558883148162e-8,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,88.20899192314376,
72,72,2.8534892655997214e-11,9.579010902269835e-13,0,5.961791280064974e-8,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,69.92847853101867,
73,73,2.8534892655997214e-11,9.579010902269835e-13,0,4.711310142713297e-8,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,55.43699969171773,
74,74,2.8534892655997214e-11,9.579010902269835e-13,0,3.723371560530415e-8,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,43.94898383968092,
75,75,2.8534892655997214e-11,9.579010902269835e-13,0,2.942765988394748e-8,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,34.84180833227252,
76,76,2.8534892655997214e-11,9.579010902269835e-13,0,2.3258592037789236e-8,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,27.6219703643744,
77,77,2.8534892655997214e-11,9.579010902269835e-13,0,1.83821038852345e-8,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,21.898291988543285,
78,78,2.8534892655997214e-11,9.579010902269835e-13,0,1.753038204355755e-8,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,17.360716184564172,
79,79,2.8534892655997214e-11,9.579010902269835e-13,0,1.3907106825576512e-8,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,13.763431984039276,
80,80,2.8534892655997214e-11,9.579010902269835e-13,0,1.1032742262009013e-8,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,10.9115723703515,
81,81,2.8534892655997214e-11,9.579010902269835e-13,0,8.752480753837603e-9,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,8.650659998486177,
82,82,2.8534892655997214e-11,9.579010902269835e-13,0,6.943519446016079e-9,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,6.858234205394047,
83,83,2.8534892655997214e-11,9.579010902269835e-13,0,5.508441999086563e-9,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,5.437214021485146,
84,84,2.8534892655997214e-11,9.579010902269835e-13,0,4.3699695038683885e-9,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,4.310637465893066,
85,85,2.8534892655997214e-11,9.579010902269835e-13,0,3.466797116560199e-9,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,3.4174915672724873,
86,86,2.8534892655997214e-11,9.579010902269835e-13,0,2.750291701347378e-9,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,2.7094068628730863,
87,87,2.8534892655997214e-11,9.579010902269835e-13,0,2.1818723297779064e-9,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,2.148037095718618,
88,88,2.8534892655997214e-11,9.579010902269835e-13,0,1.7309323803622743e-9,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,1.7029820333302659,
89,89,2.8534892655997214e-11,9.579010902269835e-13,0,1.3731912232061073e-9,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,1.3501408061056543,
90,90,2.8534892655997214e-11,9.579010902269835e-13,0,1.0893866549069171e-9,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,1.070406518002918,
91,91,2.8534892655997214e-11,9.579010902269835e-13,0,8.642376275510675e-10,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.848631389356318,
92,92,2.8534892655997214e-11,9.579010902269835e-13,0,6.856213889261236e-10,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.6728063588183767,
93,93,2.8534892655997214e-11,9.579010902269835e-13,0,5.439207080492099e-10,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.5334106961326869,
94,94,2.8534892655997214e-11,9.579010902269835e-13,0,4.315060258133741e-10,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.42289639130264667,
95,95,2.8534892655997214e-11,9.579010902269835e-13,0,3.4232464020720234e-10,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.3352793890395294,
96,96,2.8534892655997214e-11,9.579010902269835e-13,0,2.7157480167452526e-10,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.2658155265127462,
97,97,2.8534892655997214e-11,9.579010902269835e-13,0,2.1544716789861835e-10,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.21074362144584283,
98,98,2.8534892655997214e-11,9.579010902269835e-13,0,1.7091969531058078e-10,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.16708179537699305,
99,99,2.8534892655997214e-11,9.579010902269835e-13,0,1.3559492254711823e-10,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.1324660006662885,
100,100,2.8534892655997214e-11,9.579010902269835e-13,0,1.0757088404397005e-10,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.10502200590387807,
101,101,2.8534892655997214e-11,9.579010902269835e-13,0,8.533870297510436e-11,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.0832639066530841,
102,102,2.8534892655997214e-11,9.579010902269835e-13,0,6.770134941178437e-11,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.06601366515918058,
103,103,2.8534892655997214e-11,9.579010902269835e-13,0,5.370918927544709e-11,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.052337321614131176,
104,104,2.8534892655997214e-11,9.579010902269835e-13,0,4.260885378471988e-11,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.04149442249850095,
105,105,2.8534892655997214e-11,9.579010902269835e-13,0,3.3802676346765495e-11,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.03289792734068984,
106,106,2.8534892655997214e-11,9.579010902269835e-13,0,2.681651284534047e-11,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.02608242271802068,
107,107,2.8534892655997214e-11,9.579010902269835e-13,0,2.127421267540072e-11,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.020678922214301558,
108,108,2.8534892655997214e-11,9.579010902269835e-13,0,1.6877365975133567e-11,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.01639488771346367,
109,109,2.8534892655997214e-11,9.579010902269835e-13,0,1.3389236594478654e-11,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.012998390167504092,
110,110,2.8534892655997214e-11,9.579010902269835e-13,0,1.0622015712034063e-11,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.010305552144362412,
111,111,2.8534892655997214e-11,9.579010902269835e-13,0,8.42670980530954e-12,2.8534892655997214e-11,7.189236016599199e-12,2.2153015653700935e-14,0.0,0,0,0.008170592178830203,
