"","Flux","FluxIn","FluxOut","Closeness","EigenCentrality","PageRank","Betweenness","Authorities","Hubs"
"DIEKAOH",1.12070116462855e-06,1.13689350114784e-06,1.10416982958405e-06,0.999984004309153,0,0.00306429483996474,0.00185082826658627,5.93981031925935e-18,8.38886085495697e-17
"PPEN",0.00011297540471609,9.59398730058304e-05,0.000130367587865693,0.959635118636223,0,0.00770271581463806,0,7.65231660110629e-18,7.93204321300962e-13
"ISOPAO2",0.000202217101603333,0.000200165630241496,0.000204311522033412,0.999999900367546,0,0.00398615216170933,0.00628109140244209,1.53046332022126e-17,1.80151411601474e-15
"NC4H10",0.00654612395372688,0,0.013229295847602,0.314771737677302,0,0.00164773017391232,0,2.79027674851786e-18,2.33961762720419e-18
"HC4CHO",6.57697399032896e-08,6.44147188813707e-08,6.71531292911644e-08,0.99999968523613,0,0.00397656485659552,0.00191782657487898,2.15554093334183e-18,8.85507792823749e-18
"A2PANOO",1.20657547342968e-12,1.32548056999402e-12,1.08518101084165e-12,0.999999999376067,1.26106355257371e-27,0.00766315370871782,0.00363465822487982,2.15554093334183e-18,5.18262783498764e-18
"HIEB1OOH",3.21014455019631e-09,5.96820767294385e-09,3.94339338780236e-10,0.999999760521624,0,0.00464250781469747,0.0018257039009765,5.58055349703571e-18,6.5154603010333e-18
"SC4H9OOH",0.0119261288456735,0.0118520949889263,0.0120017126558955,0.867851957040459,0,0.00451728325347825,0,5.58055349703571e-18,4.14037361869069e-17
"MEKBO2",0.0029156629531532,0.00296559244743904,0.00286468814802496,0.990165066048838,0,0.0049864918784529,0.00153258630219587,4.60708121469167e-12,8.85507792823749e-18
"GLYOX",0.00431777443673746,0.00484555952108116,0.00377893978181405,0.999999999578411,5.77209157197374e-10,0.106559399764641,0.0189186473041556,3.1069053085872e-09,1.82898622519698e-06
"ISOP34O",1.98006037321145e-07,1.35264690722275e-08,3.86347821593877e-07,0.999982241975151,0,0.00192631610852347,0,5.58055349703571e-18,1.66491538123519e-09
"HC4CCO3",4.09758739201132e-08,3.31967992454502e-08,4.89178092689642e-08,0.999999984324196,0,0.00516034366971744,0.0013483409543909,7.01758078593027e-18,2.00325875357809e-16
"PEBO2",0.00210501828367034,0.00217135577468279,0.00203729196828456,0.952981355323055,0,0.00290966322999525,0.000234494079024505,6.65832396370663e-18,7.2705491719022e-18
"HMACR",5.60296145879382e-08,5.5298845510983e-08,5.67756828552889e-08,0.999998923947835,0,0.00312910895981963,0.00235331557878164,4.01657904510595e-17,7.20085401761238e-12
"NC526O2",4.90784259737904e-07,6.0746241603939e-07,3.71663360052021e-07,0.999907813740522,0,0.0146147446814426,5.86235197561262e-05,2.83699476418121e-17,2.84301020778345e-18
"INCNCO2H",1.14696387345251e-09,6.72239464482156e-10,1.63162698857132e-09,0.999986160288318,0,0.00208556492393361,0,2.79027674851786e-18,1.42150510389173e-18
"C3H6",0.00144964103435546,5.47349413657745e-07,0.00292907256593856,0.99991714803753,5.96939876080023e-18,0.00188160691166804,0.196313418086193,5.6764392039897e-15,2.5868729827338e-06
"CO2N3CO3H",1.20045394173287e-08,1.29767668914102e-08,1.1011957642959e-08,0.999999460027356,0,0.00889583268783736,0,1.07777046667092e-18,6.26376401074367e-18
"MCOCOMOXO2",1.15527537495186e-07,1.11595412783484e-07,1.19541984142121e-07,0.999999468256572,0,0.0231847108363986,0.00221094417365962,1.11611069940714e-17,2.01357032231706e-18
"HC4ACO3",1.07440984735085e-08,4.7443371871333e-09,1.686946919403e-08,0.999999987541132,0,0.00358286116333036,0.0023784399443914,7.01758078593027e-18,5.68602041556691e-18
"C523OH",1.38021015193384e-09,1.36801334619252e-09,1.3926623068123e-09,0.999982258198784,0,0.00165412235700675,0.00030149238731722,3.82615830055315e-18,1.42150510389173e-18
"MACROHOOH",6.60689130976619e-07,6.45650280235731e-07,6.76042831165945e-07,0.999978554275903,0,0.00427627792193996,0.0412709579083128,5.93981031925935e-18,4.07064216755556e-16
"C4CHOBNO3",2.9769569516779e-07,2.95799746072082e-07,2.99631337358226e-07,0.999370616580526,0,0.00166363448511911,5.86235197561262e-05,1.07777046667092e-18,2.59131391749382e-18
"C3H8",0.00630566806395912,0,0.0127433499464058,0.186571988068119,0,0.00164773017391232,0,2.79027674851786e-18,1.70294180002036e-17
"HO1C5O2",3.16136290790284e-05,3.48507413550718e-05,2.83087454664512e-05,0.999072594506164,0,0.00311198292350677,0.00546873691439291,0,0
"C527O2",1.9261505289623e-08,1.28002676351121e-08,2.58580137269083e-08,0.999999999377936,0,0.00206872287358065,0.000427114215366062,2.15554093334183e-18,3.13668435667975e-16
"CO3C4CO3H",0.000166832483138179,0.000178563779553664,0.000154855583367123,0.986790314970068,0,0.016355905641958,0,5.22129667481207e-18,2.68843945678108e-16
"CO23C4NO3",2.99651826358966e-11,1.96367416506307e-11,4.05098571621066e-11,0.999999999743782,0,0.00467288774885364,0.00218581980804985,1.08018501718478e-17,4.03226000111508e-17
"C57OOH",6.27821733613785e-08,4.14886998348011e-08,8.45214414842769e-08,0.999999519557541,0,0.00176054862705643,0,5.58055349703571e-18,1.02929281127112e-15
"CH2OO",7.46745673830999e-05,7.41507066435851e-05,7.52093955341367e-05,0.999999283193958,0,0.00654005366414954,8.37478853658945e-06,3.21566315782435e-16,2.4307878714947e-07
"COHM2PAN",5.04803808951509e-08,5.00256865340129e-08,5.09445946185912e-08,0.999969067958416,0,0.00481616717402234,0.00125621828048842,5.58055349703571e-18,1.11180287958654e-16
"CH3CHOHCO3",0.000221935069532368,0.00025906876754978,0.000184023950118823,0.969706684133262,0,0.0258158393420306,0.0150829941543976,1.0160016992873e-16,1.52999453512624e-13
"C23O3CCHO",2.23513849332602e-08,2.2295473809445e-08,2.24084665977502e-08,0.999999563850165,0,0.00595633654896611,0.0106862301726881,5.93981031925935e-18,1.04396066845728e-17
"COHM2CO2H",4.66599623854719e-08,4.25496206450007e-08,5.085635716631e-08,0.999995806946696,0,0.00262580696269688,0.0228212987622063,1.21550996314711e-17,2.45476412652563e-16
"HO3C4O2",7.02339403136301e-08,3.70322843332501e-08,1.04130697485767e-07,0.999998398464749,0,0.0032865993708779,0.00350903639683098,1.56638900244362e-17,7.77394175248146e-18
