"","Flux","FluxIn","FluxOut","Closeness","EigenCentrality","PageRank","Betweenness","Authorities","Hubs"
"INDHCO3",7.19978513241371e-05,3.50902537760109e-05,0.000111647755326539,0.934187345612243,0,0.0131656121916056,0.00952032222629074,2.39827579991171e-18,2.36437422924079e-11
"HO3C5O2",0.000104425225010469,5.76263083112189e-05,0.000154701392461415,0.960964961185372,0,0.00992651316633785,0.0465031124130355,1.87923418445309e-17,0
"BIACETO2",0.000139765809035205,0.000149596028009457,0.000129205185625799,0.96671889685351,0,0.0231845951863625,0.0648114243866715,1.1038539659292e-13,1.56866787918675e-15
"INDHCHO",3.13123410111336e-05,0,6.49512500071206e-05,0.977681791327636,0,0.00534980099651861,0,1.19913789995585e-18,2.49876503988698e-10
"HMACO3",0.00251408164720579,0.00298508776229789,0.00200807885947098,0.902577729133905,0,0.0266117491660285,0.0128158183815452,2.53898088868643e-09,2.16637883870897e-06
"INDHPCHO",0.00143031170495167,0.00232273468967324,0.000471579952563625,0.853298462623032,0,0.0115615461513709,0,2.95423479679503e-18,1.81423376483563e-09
"CH3COCH2O",0.00124452217158029,0.000654606269133907,0.00187826997570084,0.937872315845311,5.75661719315335e-21,0.0539438163550742,0,3.76719611833537e-09,1.58028015617562e-05
"NC4H9O",0.000160020996734394,0.000104884720890853,0.000219254005368882,0.939845392096559,0,0.018552257189162,0.117173196631271,1.84231680302839e-18,0
"INB1NAPAN",0.000102410702342113,0.000101366115378721,0.000103532904153452,0.86053584801909,0,0.00968784487866453,0,2.74386026308402e-16,0
"PERBUACID",9.11103779556325e-05,0.000144622654390175,3.36220350524416e-05,0.935787305905355,3.76472791598027e-21,0.0118405256596225,0,1.19913789995585e-18,1.32438499709454e-18
"ACLOOA",0.000338284799150654,0.000326586402713099,0.000350852409251156,0.885204410916063,5.89359441757543e-22,0.0073008313932425,0.00366166239472721,3.30179232446279e-13,3.58245247249947e-09
"IPROPOLO2H",0.000277600065145031,0.000412504024790748,0.000132672478283767,0.912279230761381,5.12822884083262e-23,0.039833039250249,0,5.21197767620367e-18,4.74807557294093e-13
"INAO",0.0025818224744366,8.43120522277974e-05,0.00526490279025645,0.805139620975158,0,0.00620766890424188,0,0,2.20534429039197e-10
"INAHPCHO",0.000272669171471771,0.000406831286284658,0.000128538549960746,0.956107060329182,8.71646802934168e-23,0.010522910631918,0.000732332478945441,5.21197767620367e-18,4.50178154882781e-10
"INANCHO",8.76116304208734e-05,8.15185921775469e-05,9.41573932848972e-05,0.967791552386762,1.11367236099297e-22,0.00670679186457784,0.000732332478945441,1.15317462638806e-10,3.29765674253413e-10
"C2H5CO3",0.00387546165458057,0.0044809229181678,0.00322501343867859,0.952954323195248,0,0.16254619364183,0.296594653972904,1.98749602939908e-10,2.49687825501638e-16
"NC524O",0.000687543903003569,7.31677308937178e-05,0.00134756942251224,0.916217104499003,0,0.00637188098764736,0.00878798974734529,1.39298383477277e-18,9.78297152150457e-06
"CO2H3CO3",0.00975426314072295,0.00443283212983528,0.0154710868505831,0.936542611279317,1.45825548374817e-20,0.0141698898320219,0.0278286341999268,3.46186073502289e-13,3.68194577096812e-08
"HO3C4CHO",8.96289180979629e-05,5.7721803584133e-05,0.00012390679342749,0.980543355737918,0,0.00853034674217571,0.0937385573050165,5.90846959359006e-18,2.16676659708108e-10
"NBUTOLAOOH",4.52990433272994e-05,2.97728021422326e-05,6.19789145029647e-05,0.946656619786981,0,0.00715297127759762,0,5.21197767620367e-18,0
"IECPAN",0.000102064856553589,0.000109768349879968,9.37889786540377e-05,0.89603947908875,4.85985870633642e-21,0.0111741731269867,0,7.43996545225399e-16,0
