name,PAN,Carb. Acid,Per. Acid,Hydro peroxide,Nitrate,Aldehyde,Ketone,Alcohol,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,No functional,nogroups
NBUTOLBO,0,0,0,0,0,0,0,0,0,0,0,10,0
C813NO3,0,1,0,0,1,0,2,0,0,0,0,32,0
BUTALNO3,0,0,0,0,1,1,0,0,0,0,0,16,0
C514O,0,0,0,0,0,2,0,0,0,0,0,14,0
PE1ENEBO2,0,0,0,0,0,0,0,1,0,1,0,12,0
C97OOH,0,0,0,0,0,0,1,0,0,0,0,22,0
NAPINBO,0,0,0,0,0,0,0,0,0,0,0,27,0
C82OOH,0,0,0,0,0,0,1,1,0,0,0,19,0
APINCO2,0,0,0,0,0,0,0,1,0,0,0,24,0
HO3C5NO3,0,0,0,0,1,0,0,1,0,0,0,16,0
HO1C5NO3,0,0,0,0,1,0,0,0,0,0,0,16,0
MEKCO,0,0,0,0,0,0,1,0,1,0,0,11,0
CH3NO3,0,0,0,0,1,0,0,0,0,0,0,9,0
C106NO3,0,0,0,0,1,1,2,0,0,0,0,34,0
NC101O2,0,0,0,0,1,0,1,0,0,0,0,34,0
CO3C85O2,0,0,0,0,0,0,1,0,0,1,0,18,0
HMVKANO3,0,0,0,0,0,0,1,1,0,0,0,19,0
HOC2H4CO2H,0,1,0,0,0,0,1,0,0,0,0,9,0
C97O2,0,0,0,0,0,0,1,0,0,1,0,24,0
HO1CO3C5,0,0,0,0,0,0,1,0,0,0,0,10,0
PAN,1,0,0,0,1,0,1,0,0,0,0,15,0
HYPROPO,0,0,0,0,0,0,0,0,0,0,0,9,0
APINBCO,0,0,0,0,0,1,0,0,0,0,0,19,0
APINAO2,0,0,0,0,0,0,0,1,0,0,0,21,0
HCOCO3H,0,0,0,0,0,1,1,0,0,0,0,10,0
HO2C4CHO,0,0,0,0,0,1,0,0,0,0,0,10,0
C614O,0,0,0,0,0,0,2,0,0,0,0,20,0
IPROPOLPAN,0,0,0,0,0,0,1,0,0,0,0,19,0
HNO3,0,0,0,0,0,0,0,0,0,0,0,0,1
HYETHO2H,0,0,0,1,0,0,0,0,0,0,0,5,0
NAPINBOOH,0,0,0,0,1,0,0,0,0,0,0,26,0
ETHOHNO3,0,0,0,0,1,0,0,0,0,0,0,11,0
C514NO3,0,0,0,0,1,2,0,0,0,0,0,19,0
PPEN,1,0,0,0,1,0,1,0,0,0,0,18,0
GLYOX,0,0,0,0,0,2,0,0,0,0,0,6,0
C717OOH,0,0,0,0,0,1,2,0,0,0,0,21,0
CO3C85O,0,0,0,0,0,0,1,0,0,0,0,17,0
APINAOOH,0,0,0,0,0,0,0,1,0,0,0,19,0
C96NO3,0,0,0,0,0,0,1,0,0,0,0,25,0
C920CO3H,0,0,0,0,0,0,2,0,0,0,0,25,0
HOPINONIC,0,1,0,0,0,0,2,0,0,0,0,24,0
C4CHOBNO3,0,0,0,0,1,1,0,0,0,0,0,17,0
HO1C5O2,0,0,0,0,0,0,0,0,0,1,0,12,0
C920O2,0,0,0,0,0,0,1,0,0,0,0,22,0
C5OH2CO4O,0,0,0,0,0,0,1,0,0,0,0,15,0
C44OOH,0,1,0,0,0,1,1,0,0,0,0,15,0
CH2OO,0,0,0,0,0,0,0,0,0,0,0,9,0
C86O,0,0,0,0,0,1,1,0,0,0,0,23,0
CH3CHOHCO3,0,1,0,0,0,0,1,0,0,0,0,14,0
HO3C4O2,0,0,0,0,0,0,0,1,0,1,0,11,0
CO3C4CO2H,0,1,0,0,0,0,2,0,0,0,0,14,0
HO1C4O,0,0,0,0,0,0,0,0,1,0,0,8,0
C98O,0,0,0,0,0,0,2,0,0,0,0,27,0
CO3C85OOH,0,0,0,0,0,0,1,0,0,0,0,16,0
CO13C4CHO,0,0,0,0,0,2,1,0,0,0,0,13,0
NBUTOLANO3,0,0,0,0,1,0,0,0,0,0,0,15,0
C719OOH,0,0,0,0,0,0,1,1,0,0,0,19,0
CO235C5CHO,0,0,0,0,0,1,3,0,0,0,0,20,0
PROPACID,0,1,0,0,0,0,1,0,0,0,0,8,0
HOC3H6CO3H,0,0,1,0,0,0,1,0,0,0,0,11,0
C5PAN16,1,0,0,0,1,0,2,0,0,0,0,22,0
C4CHOBO,0,0,0,0,0,1,0,0,0,0,0,12,0
C2H4,0,0,0,0,0,0,0,0,0,0,0,3,0
OCTOOH,0,0,0,0,0,0,0,0,0,0,0,12,0
NC101OOH,0,0,0,0,1,0,1,0,0,0,0,32,0
HO3C3PAN,1,0,0,0,1,0,1,1,0,0,0,20,0
HO3C4CO3,0,1,0,0,0,0,1,1,0,0,1,16,0
HO3C4OOH,0,0,0,1,0,0,0,1,0,0,0,9,0
CO2H3CO3,0,1,0,0,0,0,2,1,0,0,1,19,0
CO235C6O2,0,0,0,0,0,0,3,0,0,1,0,22,0
HCOCH2O,0,0,0,0,0,1,0,0,0,0,0,7,0
HO13C3CO3H,0,0,1,0,0,0,1,1,0,0,0,14,0
CO2C4CO2H,0,1,0,0,0,0,2,0,0,0,0,14,0
APINBO,0,0,0,0,0,0,0,0,0,0,0,20,0
C5PAN1,1,0,0,0,1,0,1,1,0,0,0,21,0
C813OOH,0,1,0,0,0,0,2,0,0,0,0,26,0
